"animal_id","Sex","Time","Steplength(m)","Turningangle(rad)"
1,"M","15:00:00",8.60232526704263,NA
1,"M","16:00:00",12.0415945787923,-3.03519979889089
1,"M","17:00:00",15.6204993518133,-1.60270039127992
1,"M","18:00:00",14.142135623731,-0.836635330800867
1,"M","19:00:00",79.6241169495775,2.84231022777898
1,"M","20:00:00",40.3112887414927,3.06362601975825
1,"M","21:00:00",8.60232526704263,-0.101103371736298
1,"M","22:00:00",NA,NA
1,"M","23:00:00",NA,NA
1,"M","00:00:00",NA,NA
1,"M","01:00:00",327.195660117918,NA
1,"M","02:00:00",1302.83268304107,-0.849123512956686
1,"M","03:00:00",26.4764045897475,2.98871189575819
1,"M","04:00:00",3.60555127546399,-1.17278201116604
1,"M","05:00:00",17.8044938147649,-1.25397184092668
1,"M","06:00:00",8.54400374531753,-2.11685274594011
1,"M","07:00:00",59.0338885725818,-2.60695343576287
1,"M","08:00:00",53.1413210223457,2.59373834607401
1,"M","09:00:00",NA,NA
1,"M","10:00:00",NA,NA
1,"M","11:00:00",12.8062484748657,NA
1,"M","12:00:00",17.2626765016321,-0.721383185563104
1,"M","13:00:00",NA,NA
1,"M","14:00:00",NA,NA
1,"M","15:00:00",381.057738407187,NA
1,"M","16:00:00",431.045241245046,-3.0184836466935
1,"M","17:00:00",108.687625790612,-2.6247498896952
1,"M","18:00:00",NA,NA
1,"M","19:00:00",NA,NA
1,"M","20:00:00",2140.37099587899,NA
1,"M","21:00:00",840.562906628647,-0.911912171909093
1,"M","22:00:00",214.219513583614,0.908156513523511
1,"M","23:00:00",36.1247837363769,2.7673492426051
1,"M","00:00:00",9,-2.29743866747662
1,"M","01:00:00",12.0830459735946,1.14416883366802
1,"M","02:00:00",564.621111897173,-1.75968292165157
1,"M","03:00:00",1340.8001342482,-0.671040635599475
1,"M","04:00:00",98.6154146165801,0.754830656324221
1,"M","05:00:00",893.782971419796,-0.253674096138643
1,"M","06:00:00",1330.93951778434,0.669430670200616
1,"M","07:00:00",38.1182371050918,1.60797985900258
1,"M","08:00:00",NA,NA
1,"M","09:00:00",NA,NA
1,"M","10:00:00",3.60555127546399,NA
1,"M","11:00:00",11.4017542509914,-1.89254688119154
1,"M","12:00:00",12.2065556157337,0.344473915238283
1,"M","13:00:00",8.60232526704263,-3.13206913199618
1,"M","14:00:00",3.16227766016838,-0.942000040379463
1,"M","15:00:00",11.7046999107196,1.54377587760763
1,"M","16:00:00",NA,NA
1,"M","17:00:00",NA,NA
1,"M","18:00:00",1064.37775249204,NA
1,"M","19:00:00",1009.32105893021,1.16778852139317
1,"M","20:00:00",1.4142135623731,-1.77753484094502
1,"M","21:00:00",9.05538513813742,0.896055384571344
1,"M","22:00:00",22.0227155455452,-2.56332548654883
1,"M","23:00:00",144.627106726229,-1.3517868394732
1,"M","00:00:00",3.16227766016838,0.341111896861692
1,"M","01:00:00",13.8924439894498,2.93526875956008
1,"M","02:00:00",192.603219080056,2.3614798532383
1,"M","03:00:00",76.1577310586391,-1.31100197309541
1,"M","04:00:00",33.734255586866,2.82821216467953
1,"M","05:00:00",388.630930318213,-2.6417102285458
1,"M","06:00:00",478.232161193703,2.03548343145821
1,"M","07:00:00",146.208754867826,1.05164843864008
1,"M","08:00:00",2.23606797749979,0.452704133435329
1,"M","09:00:00",NA,NA
1,"M","10:00:00",NA,NA
1,"M","11:00:00",39.560080889705,NA
1,"M","12:00:00",4.47213595499958,0.181875741727454
1,"M","13:00:00",13.9283882771841,0.739974883975871
1,"M","14:00:00",21.4009345590327,2.59081679171389
1,"M","15:00:00",12,2.48874602248902
1,"M","16:00:00",52.1536192416212,1.49402443552512
1,"M","17:00:00",682.211843931194,1.62264669257033
1,"M","18:00:00",753.112209434955,-1.52861224000141
1,"M","19:00:00",1297.2409182569,-0.036535425264157
1,"M","20:00:00",12.0415945787923,-3.03917855773633
1,"M","21:00:00",20.8806130178211,2.76699462722349
1,"M","22:00:00",463.492179006291,0.643914417304571
1,"M","23:00:00",NA,NA
1,"M","00:00:00",NA,NA
1,"M","01:00:00",225.10886255321,NA
1,"M","02:00:00",1420.05070332013,-0.343571058149629
1,"M","03:00:00",148.189068422742,1.32377075349292
1,"M","04:00:00",703.887064805143,-0.760340344739373
1,"M","05:00:00",122.711042697876,-1.67105134759413
1,"M","06:00:00",114.236596587959,-3.07391410676094
1,"M","07:00:00",466.314271709541,-2.53442381685696
1,"M","08:00:00",388.352932266515,-2.27250655298782
1,"M","09:00:00",8.06225774829855,0.457505706515048
1,"M","10:00:00",75.1864349467376,-0.366107862411004
1,"M","11:00:00",386.683332974153,0.397548076561965
1,"M","12:00:00",105.261578935526,2.0927094106618
1,"M","13:00:00",8.60232526704263,1.84363487504234
1,"M","14:00:00",240.104144070859,-2.14161018554536
1,"M","15:00:00",1150.21041553274,1.17193524318264
1,"M","16:00:00",401.277958527503,-1.14154088470276
1,"M","17:00:00",848.648926235107,-1.56999760492002
1,"M","18:00:00",709.890836678429,0.674801861719012
1,"M","19:00:00",675.046665053609,-0.0462050111822991
1,"M","20:00:00",923.275148587895,1.28373330274666
1,"M","21:00:00",131.217376898031,-2.57747675987143
1,"M","22:00:00",10.295630140987,2.33211537535892
1,"M","23:00:00",55.5427763079953,-1.67063898311239
1,"M","00:00:00",121.433109158911,3.06129564615066
1,"M","01:00:00",68.8839603971781,2.33150814813675
1,"M","02:00:00",126.115026860402,2.23732157583175
1,"M","03:00:00",1014.56000315408,-0.467114841511907
1,"M","04:00:00",1392.46256682182,1.75813004280962
